tahun;petugas_id;kode_bs;nks;no_urut
2025;34;7317052005001B;100357;6
2025;34;7317052005001B;100357;7
2025;34;7317052005001B;100357;8
2025;34;7317052005001B;100357;9
2025;34;7317052005001B;100357;10
2025;34;7317052006002B;100360;1
2025;34;7317052006002B;100360;2
2025;34;7317052006002B;100360;3
2025;34;7317052006002B;100360;4
2025;34;7317052006002B;100360;5
2025;34;7317052006002B;100360;6
2025;34;7317052006002B;100360;7
2025;34;7317052006002B;100360;8
2025;34;7317052006002B;100360;9
2025;34;7317052006002B;100360;10
2025;22;7317060025003B;200405;1
2025;22;7317060025003B;200405;2
2025;22;7317060025003B;200405;3
2025;22;7317060025003B;200405;4
2025;22;7317060025003B;200405;5
2025;22;7317060025003B;200405;6
2025;22;7317060025003B;200405;7
2025;22;7317060025003B;200405;8
2025;22;7317060025003B;200405;9
2025;22;7317060025003B;200405;10
2025;1;7317060004001B;100382;1
2025;1;7317060004001B;100382;2
2025;1;7317060004001B;100382;3
2025;1;7317060004001B;100382;4
2025;1;7317060004001B;100382;5
2025;1;7317060004001B;100382;6
2025;1;7317060004001B;100382;7
2025;1;7317060004001B;100382;8
2025;1;7317060004001B;100382;9
2025;1;7317060004001B;100382;10
2025;30;7317060002002B;100371;1
2025;30;7317060002002B;100371;2
2025;30;7317060002002B;100371;3
2025;30;7317060002002B;100371;4
2025;30;7317060002002B;100371;5
2025;30;7317060002002B;100371;6
2025;30;7317060002002B;100371;7
2025;30;7317060002002B;100371;8
2025;30;7317060002002B;100371;9
2025;30;7317060002002B;100371;10
2025;30;7317060003004B;100376;1
2025;30;7317060003004B;100376;2
2025;30;7317060003004B;100376;3
2025;30;7317060003004B;100376;4
2025;30;7317060003004B;100376;5
2025;30;7317060003004B;100376;6
2025;30;7317060003004B;100376;7
2025;30;7317060003004B;100376;8
2025;30;7317060003004B;100376;9
2025;30;7317060003004B;100376;10
2025;17;7317061016002B;200419;1
2025;17;7317061016002B;200419;2
2025;17;7317061016002B;200419;3
2025;17;7317061016002B;200419;4
2025;17;7317061016002B;200419;5
2025;17;7317061016002B;200419;6
2025;17;7317061016002B;200419;7
2025;17;7317061016002B;200419;8
2025;17;7317061016002B;200419;9
2025;17;7317061016002B;200419;10
2025;23;7317061009007B;150079;1
2025;23;7317061009007B;150079;2
2025;23;7317061009007B;150079;3
2025;23;7317061009007B;150079;4
